ensg,symbol,ensembl_symbol,chrom,biotype,mean_cpm,std_cpm,cv,mean_log2cpm,std_log2cpm,frac_expressed,name_class
ENSG00000310526,WASH7P,WASH7P,chr1,lncRNA,5.208810717606382,2.9788771144915946,0.5718919876321568,2.5025434349096596,0.5996185141942165,0.9962640099626401,named
ENSG00000241860,ENSG00000241860,ENSG00000241860,chr1,lncRNA,1.402993503076948,1.1406756138077092,0.8130298617249891,1.148927520569273,0.5466097542587754,0.5716064757160647,unnamed
ENSG00000308579,ENSG00000308579,ENSG00000308579,chr1,lncRNA,46.659332627657164,27.119998355696694,0.5812341674947448,5.341962491847711,0.8477535507730963,1.0,unnamed
ENSG00000310527,WASH9P,WASH9P,chr1,lncRNA,5.571884247550337,2.5306549595646417,0.4541829742204779,2.610814171003142,0.5588990845509947,0.9975093399750934,named
ENSG00000292994,ENSG00000292994,ENSG00000292994,chr1,lncRNA,1.636731957786595,1.6361134566175235,0.9996221121203572,1.1956286247845869,0.7240827448153037,0.5217932752179327,unnamed
ENSG00000290385,ENSG00000290385,ENSG00000290385,chr1,lncRNA,12.875355506390425,10.08016096369674,0.7829035057473678,3.4924753217090703,0.9226497984087202,1.0,unnamed
ENSG00000225880,LINC00115,LINC00115,chr1,lncRNA,10.612308450505646,7.113395548505549,0.6702967202358895,3.3658191482196855,0.6650711430846058,1.0,LINC
ENSG00000228794,LINC01128,LINC01128,chr1,lncRNA,7.281396085128227,5.14516914027677,0.7066184946023524,2.8195936514449924,0.8089062832061431,1.0,LINC
ENSG00000230415,LINC01786,LINC01786,chr1,lncRNA,0.7297797878974985,0.6147292731502567,0.8423489980741954,0.7166726717856976,0.4420351293633949,0.24533001245330013,LINC
ENSG00000240731,ENSG00000240731,ENSG00000240731,chr1,lncRNA,0.9112524448609204,0.6009635650950856,0.6594918548468833,0.8748509896765463,0.4008902394754383,0.32627646326276466,unnamed
ENSG00000224870,MRPL20-AS1,MRPL20-AS1,chr1,lncRNA,10.60089811447244,4.7634427204771645,0.44934331686237705,3.4013323093342662,0.6528523074837619,1.0,antisense
ENSG00000272455,MRPL20-DT,MRPL20-DT,chr1,lncRNA,1.273165463261965,1.135557368936478,0.8919165667807839,1.047609774812832,0.6041027545673971,0.48941469489414696,named
ENSG00000286989,ENSG00000286989,ENSG00000286989,chr1,lncRNA,0.8352699378373133,0.5091054353145625,0.6095100664495862,0.8264848760774928,0.370318244442763,0.298879202988792,unnamed
ENSG00000272106,ENSG00000272106,ENSG00000272106,chr1,lncRNA,3.3633375723011603,1.5316638804987293,0.45539998515545405,2.0406600409023605,0.49508970701577804,0.9825653798256538,unnamed
